item_id,title,storage_type,shelf_life_days,can_freeze,frozen_shelf_life_days,perishability,confidence,notes
59911,Artichoke,dry,365,False,,low,medium,"Max gap 19 days means ingredients must be non-perishable, canned, or jarred (artichoke, olives, sauce)."
59912,Broccolien,refrigerated,7,True,90,medium,medium,Fresh broccoli and potatoes refrigerated; max gap 5 days allows weekly use.
59913,Potatos,refrigerated,7,True,90,medium,medium,Potatoes and cheese refrigerated; max gap 9 days suggests batch prep or frozen components.
59916,Mushroom,refrigerated,3,True,60,high,medium,Fresh mushrooms and cheese; daily staple allows short shelf life.
59917,Sunny Hawaii,refrigerated,5,True,90,medium,medium,Tofu and vegetables refrigerated; weekly batch with max gap 12 days suggests frozen or preserved ingredients.
59919,Auberginen,refrigerated,5,True,90,medium,medium,Fresh aubergine and squash; daily staple allows short refrigeration.
59920,Freestyle,refrigerated,3,True,90,high,low,Varies by chef's choice; daily staple implies fresh ingredients with short shelf life.
59921,Umamien,refrigerated,5,True,90,medium,medium,Seitan and vegetables refrigerated; daily staple allows regular use.
59946,Rødvin,ambient,1095,False,,low,high,Red wine is bottled and stored at room temperature.
59949,Hvidvin,ambient,1095,False,,low,high,White wine is bottled and stored at room temperature.
59958,Bobler (cremant),refrigerated,365,False,,low,low,Sparkling wine (cremant) stored refrigerated after opening; unopened is ambient.
60480,Den Store Grillede,frozen,2,True,90,high,medium,Plant-based patty and fresh veggies; weekly batch with max gap 8 days requires freezing.
60822,Latte,refrigerated,7,False,,medium,low,Milk for latte refrigerated; daily staple ensures freshness.
64283,Zula Speciel,refrigerated,3,True,60,high,medium,Meat and vegetable dishes highly perishable; unknown pattern but likely refrigerated.
64296,Afrikansk Øl,ambient,365,False,,low,high,Bottled beer stored at room temperature.
64299,Vand,ambient,1095,False,,low,high,Bottled water stored at room temperature.
64300,Kaffe,dry,365,False,,low,high,Coffee beans are dry goods with long shelf life.
66633,Espresso,dry,365,False,,low,high,Coffee beans stored dry; daily staple.
66634,Cortado,refrigerated,7,False,,medium,low,Milk for cortado refrigerated; daily staple.
66635,Varm Chokolade,dry,365,False,,low,low,Chocolate powder or syrup stored dry; daily staple.
66636,Iskaffe,refrigerated,7,False,,medium,low,Milk and coffee refrigerated; daily staple.
66637,Americano,dry,365,False,,low,high,Coffee beans stored dry; daily staple.
66645,Cappuccino,refrigerated,7,False,,medium,low,Milk for cappuccino refrigerated; daily staple.
66646,Chai Latte,dry,365,False,,low,low,Chai mix stored dry; milk refrigerated separately.
66647,Frisk Mynte Te,dry,365,False,,low,low,Mint tea stored dry; daily staple.
66648,Filter Kaffe,dry,365,False,,low,high,Coffee beans stored dry; daily staple.
66669,Thy Økologisk Humle,ambient,365,False,,low,low,Bottled beer stored at room temperature; daily staple.
66670,Økologisk Classic,ambient,365,False,,low,low,Bottled beer stored at room temperature; daily staple.
66672,Økologisk Thy Pilsner,ambient,365,False,,low,low,Bottled beer stored at room temperature; daily staple.
66674,"Ship full of IPA, Alcholfri",ambient,365,False,,low,low,Non-alcoholic beer stored at room temperature; daily staple.
